Name,Phone,URL,Category
Allen Correctional Center,(337) 639-2943,https://doc.la.gov/location/allen-correctional-center/,"Louisiana Department of Public Safety & CorrectionsProviding public safety for the state of Louisiana through corrections, reinvestment, and rehabilitation.LA DPS&C"
B.B. Rayburn Correctional Center,(985) 661-6300,https://doc.la.gov/location/b-b-rayburn-correctional-center/,(337) 639-2943
David Wade Correctional Center,(318) 927-0400,https://doc.la.gov/location/david-wade-correctional-center/,(985) 661-6300
Dixon Correctional Institute,(225) 634-1200,https://doc.la.gov/location/dixon-correctional-institute/,(318) 927-0400
Elayn Hunt Correctional Center,(225) 642-3306,https://doc.la.gov/location/elayn-hunt-correctional-center/,(225) 634-1200
Louisiana Correctional Institute for Women,(225) 319-2701,https://doc.la.gov/location/louisiana-correctional-institute-for-women/,(225) 642-3306
Louisiana State Penitentiary,(225) 655-4411,https://doc.la.gov/location/louisiana-state-penitentiary/,(225) 319-2701
Raymond Laborde Correctional Center,(318) 876-2891,https://doc.la.gov/location/raymond-laborde-correctional-center/,(225) 655-4411
Acadia Parish,Unknown,https://doc.la.gov/location/acadia-parish-jails-offices/,(318) 876-2891
Allen Parish,Unknown,https://doc.la.gov/location/allen-parish-jails-offices/,Acadia Parish
Ascension Parish,Unknown,https://doc.la.gov/location/ascension-parish-jails-offices/,Allen Parish
Assumption Parish,Unknown,https://doc.la.gov/location/assumption-jails-offices/,Ascension Parish
Avoyelles Parish,Unknown,https://doc.la.gov/location/avoyelles-parish/,Assumption Parish
Beauregard Parish,Unknown,https://doc.la.gov/location/beauregard_parish/,Avoyelles Parish
Bienville Parish,Unknown,https://doc.la.gov/location/bienville_parish/,Beauregard Parish
Bossier Parish,Unknown,https://doc.la.gov/location/bossier_parish/,Bienville Parish
Caddo Parish,Unknown,https://doc.la.gov/location/caddo_parish/,Bossier Parish
Calcasieu Parish,Unknown,https://doc.la.gov/location/calcasieu_parish/,Caddo Parish
Caldwell Parish,Unknown,https://doc.la.gov/location/caldwell_parish/,Calcasieu Parish
Cameron Parish,Unknown,https://doc.la.gov/location/cameron-parish/,Caldwell Parish
Catahoula Parish,Unknown,https://doc.la.gov/location/catahoula_parish/,Cameron Parish
Claiborne Parish,Unknown,https://doc.la.gov/location/claiborne-parish/,Catahoula Parish
Concordia Parish,Unknown,https://doc.la.gov/location/concordia_parish/,Claiborne Parish
Desoto Parish,Unknown,https://doc.la.gov/location/desoto-parish/,Concordia Parish
East Baton Rouge Parish,Unknown,https://doc.la.gov/location/east_baton_rouge/,Desoto Parish
East Carroll Parish,Unknown,https://doc.la.gov/location/east_carroll_parish/,East Baton Rouge Parish
East Feliciana Parish,Unknown,https://doc.la.gov/location/east_feliciana_parish/,East Carroll Parish
Evangeline Parish,Unknown,https://doc.la.gov/location/evangeline_parish/,East Feliciana Parish
Evangeline Parish,Unknown,https://doc.la.gov/location/evangeline_parish-2/,Evangeline Parish
Franklin Parish,Unknown,https://doc.la.gov/location/franklin-parish/,Evangeline Parish
