Fiscal Year,Title,Funding Opportunity,Awardee,State,Award Number,Award Amount,Award Status
2024,A Combined Molecular Analysis of Pollen Utilizing Lipid Profiling & DNA Barcoding for Plant Species Identification: A Forensic Application,NIJ FY24 Graduate Research Fellowship,THE UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES,FL,15PNIJ-24-GG-01571-RESS,"$120,000",Open
2024,A Comparative Evaluation of the MinION and MiSeq Sequencing Platforms for the Analysis of Human Hand Microbial Profiles for Forensic Investigations.,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-24-GG-03842-SLFO,"$487,790",Open
2024,A Comprehensive Evaluation and Error Rate Assessment of Field Colorimetric Testing for Seized Drugs,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-03851-SLFO,"$499,902",Open
2024,A Focused Deterrence Program for Juveniles with Firearm Offenses: a Randomized Controlled Trial and Process Evaluation,NIJ FY24 Research and Evaluation on Youth Justice Topics,FLORIDA STATE UNIVERSITY,FL,15PNIJ-24-GG-03092-MUMU,"$1,255,241",Open
2024,A Multi-District Analysis of School Safety in School Districts Awarded STOP School Violence Grants in Fiscal Years 2018–2023,NIJ FY24 Research and Evaluation on School Safety,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GK-01051-STOP,"$933,524",Open
2024,"A Multi-Method Genetic, Craniometric, and Isotopic Approach to Estimating Geographic Origin of Unidentified Latinx Remains",NIJ FY24 Graduate Research Fellowship,TEXAS STATE UNIVERSITY,TX,15PNIJ-24-GG-01578-RESS,"$180,000",Open
2024,A National Review of Multidisciplinary Teams addressing Child Sexual Exploitation,NIJ FY24 Research on Multidisciplinary Teams,UNIVERSITY OF NEBRASKA,NE,15PNIJ-24-GG-01653-MUMU,"$1,499,977",Open
2024,A Pilot Study: Behavioral Response and Community Engagement (BRACE) Team,NIJ FY24 Field-Initiated Action Research Partnerships,UNIVERSITY OF SOUTH FLORIDA,FL,15PNIJ-24-GG-05448-NIJB,"$399,995",Open
2024,A Statewide Assessment of the Impact of Virtual Check-Ins for Community Supervision,NIJ FY24 Research and Evaluation on Corrections,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-01083-FSAX,"$1,157,850",Open
2024,A Study of a Statewide Safe Firearms Storage Message Campaign in Texas Schools,NIJ FY24 Research and Evaluation on Firearm Violence and Mass Shootings,WESTED,CA,15PNIJ-24-GG-02407-STOP,"$846,618",Open
2024,A Universal Method for the Detection of Gunshot Residue using Vibrational Spectroscopy,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",NY,15PNIJ-24-GG-03857-NIJB,"$556,572",Open
2024,ABCD Social Development (ABCD-SD),NIJ FY24 Invited to Apply – Adolescent Brain Cognitive Development: Social Development Sub-study (ABCD-SD),UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,2017-MU-CX-0044,"$1,800,000",Open
2024,Advancing Denver’s Handgun Intervention Program through Action Research,NIJ FY24 Field-Initiated Action Research Partnerships,UNIVERSITY OF DENVER,CO,15PNIJ-24-GG-05450-NIJB,"$425,000",Open
2024,Advancing New Psychoactive Substance Detection by Performance Comparison of High-Resolution Mass Spectrometry Techniques,NIJ FY24 Graduate Research Fellowship,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-24-GG-01569-RESS,"$119,881",Open
2024,Age estimation from epigenetic features of hair DNA,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,UNIVERSITY OF CALIFORNIA SANTA CRUZ,CA,15PNIJ-24-GG-03843-SLFO,"$640,358",Open
